id,ward_name,male_pop,female_pop,total_pop
1001,Nggosi,5240,4822,10062
1002,Mbumburu,1912,1713,3625
1003,Rove - Lengakiki,1464,1149,2613
1004,Cruz,125,107,232
1005,Vavaea,3788,3208,6996
1006,Vuhokesa,627,570,1197
1007,Mataniko,2249,2094,4343
1008,Kola'A,5345,4806,10151
1009,Kukum,971,864,1835
101,Waghina,852,784,1636
1010,Naha,187,169,356
1011,Vura,4697,4399,9096
1012,Panatina,7484,6619,14103
102,Katupika,1018,970,1988
103,Vasiduki,806,768,1574
104,Viviru,771,728,1499
105,Babatana,860,878,1738
106,Tepakaza,893,787,1680
107,Batava,2578,2353,4931
108,Tavula,1240,1247,2487
109,Polo,860,839,1699
110,Bangara,576,582,1158
111,Susuka,908,838,1746
112,Senga,948,908,1856
113,Kerepangara,553,587,1140
114,Kirugela,669,571,1240
201,Outer Shortlands,648,658,1306
202,Inner Shortlands,1233,1164,2397
203,Simbo,939,843,1782
204,North Ranongga,266,275,541
205,Central Ranongga,1227,1287,2514
206,South Ranongga,1721,1584,3305
207,Vonunu,1837,1721,3558
208,Bilua,2245,2045,4290
209,Dovele,1000,967,1967
210,Iringgila,1461,1372,2833
211,Gizo,3802,3375,7177
212,South Kolombangara,2215,1808,4023
213,Vonavona,2883,2632,5515
214,Kusaghe,1157,1081,2238
215,Munda,1352,1268,2620
216,Nusa Roviana,1018,977,1995
217,Roviana Lagoon,2441,2234,4675
218,South Rendova,1280,1197,2477
219,North Rendova,879,845,1724
220,Kolombaghea,929,854,1783
221,Buini Tusu,1596,1369,2965
222,Nono,1899,1711,3610
223,Nggatokae,1553,1497,3050
224,North Vangunu,1320,1341,2661
225,Noro,1772,1593,3365
226,North Kolombangara,1253,1025,2278
301,Kia,1054,875,1929
302,Havulei,599,549,1148
303,Kokota,692,485,1177
304,Hovukoilo,1016,972,1988
305,Buala,1456,1357,2813
306,Tirotonga,342,341,683
307,Koviloko,579,661,1240
308,Kmaga,910,952,1862
309,Kaloka,466,493,959
310,Tatamba,717,687,1404
311,Sigana,1195,1202,2397
312,Japuana,1062,1101,2163
313,Kolomola,460,489,949
314,Kolotubi,811,860,1671
315,Susubona,954,953,1907
316,Samasodu,1015,853,1868
401,Sandfly-Buenavista,1663,1563,3226
402,West Gela,1110,1110,2220
403,East Gela,1040,986,2026
404,Tulagi,658,593,1251
405,South West Gela,1299,1287,2586
406,South East Gela,827,835,1662
407,North East Gela,1078,1040,2118
408,North West Gela,825,897,1722
409,Mbanika,1062,957,2019
410,Pavuvu,994,962,1956
411,Lovukol,1099,1029,2128
412,North Savo,800,720,1520
413,South Savo,806,811,1617
501,East Te Nggano,183,184,367
502,West Te Nggano,199,179,378
503,Lughu,198,164,362
504,Kangava,135,104,239
505,Tetau Nangoto,293,276,569
506,Mugihenua,59,58,117
507,Matangi,75,69,144
508,East Ghongau,117,148,265
509,West Ghongau,170,180,350
510,Sa'Aiho,120,130,250
601,Tandai,7785,7129,14914
602,Saghalu,3446,3064,6510
603,Savulei,1582,1421,3003
604,Tangarare,1633,1485,3118
605,Wanderer Bay,1792,1656,3448
606,Duidui,1631,1570,3201
607,Vatukulau,864,958,1822
608,Talise,829,887,1716
609,Avuavu,1096,1166,2262
610,Moli,1786,1910,3696
611,Tetekanji,531,583,1114
612,Birao,1589,1570,3159
613,Valasi,746,731,1477
614,Kolokarako,715,703,1418
615,Longgu,1946,1821,3767
616,Aola,2065,1979,4044
617,Paripao,1555,1513,3068
618,East Tasimboko,3917,3521,7438
619,Vulolo,2294,2135,4429
620,Malango,5540,4992,10532
621,West Ghaobata,2573,2389,4962
622,East Ghaobata,2368,2147,4515
701,Auki,2592,2513,5105
702,Aimela,3889,3750,7639
703,Buma,3275,2948,6223
704,Fauabu,4400,4430,8830
705,West Baegu  - Fatale,1270,1207,2477
706,Mandalua - Folotana,1383,1366,2749
707,Foondo - Gwaiau,2779,2753,5532
708,Malu'U,2180,2153,4333
709,Matakwalao,1391,1369,2760
710,Takwa,5002,5068,10070
711,East Baegu,2370,2411,4781
712,Fouenda,929,956,1885
713,Sulufou - Kwarande,420,446,866
714,Sububenu- Burianias,2581,2513,5094
715,Nafinua,2125,2070,4195
716,Faumamanu - Kwai,1796,1796,3592
717,Gulalafou,2995,3036,6031
718,Waneagu - Taelanasin,1725,1753,3478
719,Aiaisi,1815,1759,3574
720,Areare,1752,1773,3525
721,Raroisuu,2460,2528,4988
722,Aba - Asimeuru,2438,2498,4936
723,Asimae,1586,1457,3043
724,Mareho,1237,1313,2550
725,Tai,2384,2266,4650
726,Kwarekwareo,961,960,1921
727,Siesie,1883,1864,3747
728,Weagu Silana Sina,2644,2477,5121
729,Kwaimela - Radefasu,4884,4750,9634
730,Langalanga,924,998,1922
731,Luaniua,697,699,1396
732,Pelau,343,357,700
733,Sikaiana,122,127,249
801,North Ulawa,586,583,1169
802,South Ulawa,627,667,1294
803,West Ulawa,434,426,860
804,Ugi And Pio,619,590,1209
805,Arosi South,1575,1434,3009
806,Arosi West,1064,945,2009
807,Arosi North,1207,1137,2344
808,Arosi East,1083,971,2054
809,Bauro West,2066,1862,3928
810,Bauro Central,2384,2178,4562
811,Bauro East,845,780,1625
812,Wainoni West,1074,1057,2131
813,Wainoni East,1263,1225,2488
814,Star Harbour North,1654,1608,3262
815,Santa Ana,757,790,1547
816,Santa Catalina,413,398,811
817,Star Harbour South,580,558,1138
818,Rawo,356,321,677
819,Weather Coast,842,816,1658
820,Haununu,1360,1284,2644
901,Fenualoa,618,687,1305
902,Polynesian Outer Islands,165,188,353
903,Nipua-Nopoli,422,458,880
904,Lipe-Temua,367,426,793
905,Manuopo,496,534,1030
906,Nenumpo,553,613,1166
907,Nevenema,460,487,947
908,Luva Station,1143,1192,2335
909,Graciosa Bay,638,626,1264
910,Nea-Noole,874,896,1770
911,North East Santa Cruz,936,907,1843
912,Nanggu-Lord Howe,955,906,1861
913,Duff Islands,262,249,511
914,Utupua,586,582,1168
915,Vanikoro,625,668,1293
916,Tikopia,604,681,1285
917,Neo,762,796,1558
